뜻,단어
벗기다,strip
한번치기,stroke
주관의,subjective
복종시키다,submit
서명승락하다,subscribe
물질,substance
실체의,substantial
대용하다 대신하다 대리(인),substitute
미묘한,subtle
빨다,suck
수행원,suite
감독하다,supervise
부록,supplement
넘겨주다,surrender
매달다,suspend
떠받치다,sustain
맹세하다,swear
청소하다,sweep
부풀다,swell
빠른,swift
괴롭히다,tease
전신,telegraph
일시적인,temporary
유혹하다,tempt
차지인,tenant
끝내다,terminate
계단모양의 뜰(광장),terrace
증명하다,testify
치료법,therapy
실,thread
시계소리,tick
재목,timber
고문,torture
질질 끌다,trail
처리하다,transact
변천,transition
보내다,transmit
조약,treaty
무서운,tremendous
방아쇠 재빠른,trigger
산뜻한 정돈하다,trim
전복,turnover
(영향 등을)받다,undergo
-의 밑에 있다,underlie
-밑을 파다,undermine
떠맡다,undertake
-을 이용하다,utilize
전적인,utter
막연한,vague
유효한,valid
자취를 감추다,vanish
"말의, 말에 관한, 언어상의, 말로 나타낸, 말로 된",verbal
"시의 한 줄, 시구  일련의 시구",verse
"수평면에 직각인, 수직의",vertical
그릇,vessel
"노련가, 경험 많은 대가, 베테랑",veteran
수의사,veterinarian
"악덕,  비행, 타락 행위",vice
"정력적인, 강건한, 활기 있는, 격렬한",vigorous
"처녀, 동정녀, 미혼 여성, 동정녀 마리아",virgin
"사실상의, 실질상의, 실제의  허상의",virtual
"덕, 덕행, 선, 선행",virtue
"생명의, 생명에 관한, 생명유지에 필요한, 살아 있는",vital
"발랄한, 약동적인, 힘찬, 생기있는",vivid
"천직, 사명 직업, 생업, 장사  적성, 소질, 재능",vocation
짐마차,wagon
헤매다,wander
창고,warehouse
보증하다 보증,warrant
병사,warrior
짜다,weave
잡초 잡초를 뽑다,weed
cnj.(-인)까닭에,whereas
채찍 채찍질하다,whip
사악한,wicked
미망인,widow
물러나다,withdraw
난파,wreck
산출하다,yield
